,lyric
1978,"('wellll', 'RB')"
1978,"('ohhhh', 'VBZ')"
1978,"('wellll', 'VBZ')"
1978,"('ohhhh', 'VBZ')"
1978,"('wellll', 'RB')"
1978,"('ohhhh', 'VBZ')"
1978,"('wellll', 'VBZ')"
1978,"('ohhhh', 'VBZ')"
1978,"('wellll', 'VBZ')"
1978,"('ohhhh', 'VBZ')"
1978,"('wellll', 'VBZ')"
1978,"('ohhhh', 'VBZ')"
1978,"('ohhhh', 'VBZ')"
1982,"('streeets', 'NNS')"
1986,"('cruuuuuise', 'NN')"
1998,"('oooooh', 'RB')"
1998,"('oooooh', 'VBP')"
1998,"('oooooh', 'VBP')"
1998,"('oooooh', 'NN')"
1998,"('ayyyy', 'NN')"
1998,"('oooooh', 'NN')"
2010,"('mmm', 'VBZ')"
2016,"('oooh', 'NN')"
2016,"('mannnnnnnn', 'NN')"
2016,"('dammmmmmmn', 'JJ')"
2018,"('burrrp', 'NN')"
2022,"('dammmmmn', 'VBP')"
2022,"('dammmmmn', 'NNS')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('doooooo', 'NN')"
2026,"('doooooo', 'NN')"
2026,"('doooooo', 'NN')"
2026,"('doooooo', 'NN')"
2026,"('oooooh', 'JJ')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('oooh', 'RB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('dooooo', 'VB')"
2026,"('dooooo', 'NN')"
2026,"('hannnnnndle', 'VB')"
2026,"('dooooo', 'NN')"
2026,"('oooooh', 'JJ')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2026,"('youuuuu', 'VB')"
2029,"('ooooooh', 'NN')"
2029,"('peeeimp', 'JJ')"
2029,"('peeeimp', 'NN')"
2029,"('oooooh', 'NN')"
2029,"('peeeimp', 'JJ')"
2029,"('peeeimp', 'NN')"
2029,"('ooooh', 'NN')"
2029,"('areahhhhh', 'NN')"
2029,"('areahhhhh', 'NN')"
2029,"('oooh', 'JJ')"
2029,"('ooooh', 'NN')"
2029,"('ooooh', 'VBP')"
2060,"('laaast', 'NN')"
2064,"('hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiigh', 'VBP')"
2064,"('aaaaah', 'VBZ')"
2064,"('ooooh', 'JJ')"
2064,"('aaaaah', 'VBZ')"
2064,"('ooooh', 'JJ')"
2064,"('aaaaah', 'VBZ')"
2064,"('ooooh', 'JJ')"
2069,"('shhhhhhhh', 'NN')"
2072,"('baaaaaaack', 'NN')"
2078,"('hooo', 'VB')"
2078,"('ooooh', 'JJ')"
2078,"('hooo', 'VB')"
2078,"('ooooh', 'JJ')"
2078,"('hooo', 'VB')"
2078,"('ooooh', 'JJ')"
2080,"('biiiiiiiitch', 'VBP')"
2105,"('powppppow', 'NN')"
2105,"('vvvalvevalve', 'NN')"
2105,"('tttoweltowel', 'NN')"
2109,"('sparxxx', 'NN')"
2115,"('mmm', 'JJ')"
2115,"('mmm', 'NN')"
2122,"('wooo', 'VBP')"
2133,"('balllicker', 'NN')"
2140,"('gggoes', 'VBZ')"
2158,"('mhmmm', 'NN')"
2166,"('llllet', 'JJ')"
2166,"('llllike', 'NN')"
2166,"('pppellets', 'NNS')"
2166,"('eeelliott', 'NN')"
2172,"('presss', 'NN')"
2173,"('mmm', 'NN')"
2178,"('negaraaaar', 'JJ')"
2178,"('rolaaar', 'NN')"
2185,"('mmmm', 'NN')"
2185,"('mmmm', 'NN')"
2186,"('haaa', 'NN')"
2205,"('aaaint', 'NN')"
2205,"('aaaint', 'VB')"
2205,"('aaaint', 'NN')"
2205,"('aaaint', 'VB')"
2205,"('ggggone', 'VBN')"
2208,"('aaah', 'NN')"
2209,"('aaaand', 'NN')"
2209,"('ahhhhhhhhh', 'NN')"
2212,"('kkkeys', 'NNS')"
2215,"('skurttt', 'NN')"
2217,"('oooh', 'NN')"
2217,"('oooh', 'NN')"
2221,"('ahhh', 'JJ')"
2221,"('chillll', 'VBP')"
2231,"('yeahhhhhh', 'NN')"
2233,"('aaaoooowww', 'NN')"
2234,"('ohhh', 'NN')"
2236,"('oooooowwwww', 'JJ')"
2238,"('brrrrrrap', 'VB')"
2238,"('ggggunit', 'JJ')"
2243,"('whooo', 'NNS')"
2245,"('iii', 'NN')"
2245,"('jjjoe', 'NN')"
2246,"('heeey', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('grrrack', 'NN')"
2248,"('ggggot', 'VBD')"
2248,"('ggggot', 'VBD')"
2248,"('ppppprofit', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('rrr', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('ppppprofit', 'NN')"
2248,"('ppppprofit', 'NN')"
2249,"('ohhhh', 'JJ')"
2249,"('owww', 'JJ')"
2249,"('ohhhh', 'JJ')"
2249,"('ohhhh', 'JJ')"
2252,"('yeaaah', 'NN')"
2252,"('yeaaah', 'NN')"
2252,"('yeaaah', 'NN')"
2252,"('yeaaah', 'NN')"
2254,"('yeaaaah', 'JJ')"
2254,"('yeaaaah', 'JJ')"
2261,"('mmm', 'NN')"
2261,"('mmm', 'NN')"
2261,"('mmm', 'NN')"
2262,"('mhmmm', 'NN')"
2263,"('mmm', 'NN')"
2264,"('yeaaaaaah', 'NN')"
2264,"('yeaaaaaah', 'NN')"
2264,"('squaaa', 'JJ')"
2271,"('ahhoooo', 'RP')"
2271,"('oooooh', 'VBD')"
2274,"('flyyyyyy', 'VBZ')"
2274,"('noooo', 'VBZ')"
2274,"('nooowhoa', 'JJ')"
2274,"('noooo', 'VBZ')"
2274,"('nooowhoa', 'JJ')"
2279,"('amerikkkas', 'RB')"
2279,"('xxxplosive', 'JJ')"
2281,"('kkk', 'NN')"
2282,"('shhh', 'NN')"
2285,"('yyyou', 'NN')"
2301,"('yeahhhhh', 'VBP')"
2301,"('yeahhhhh', 'VBP')"
2301,"('yeahhhhh', 'VBP')"
2301,"('19ssssomething', 'VBG')"
2301,"('liiiit', 'JJ')"
2301,"('yooo', 'NN')"
2301,"('ughhhh', 'RB')"
2301,"('ohhhhh', 'VBZ')"
2301,"('myyyy', 'NN')"
2301,"('godddddd', 'NN')"
2308,"('fffreak', 'VBP')"
2308,"('fffreak', 'VBZ')"
2308,"('fffreak', 'VB')"
2308,"('fffreak', 'VB')"
2308,"('nnnasty', 'JJ')"
2308,"('nnnasty', 'NN')"
2308,"('nnnasty', 'JJ')"
2313,"('hmmmmmmmmmmmmmmmmm', 'NN')"
2313,"('hmmmmmmmmmmmmmmmmm', 'JJ')"
2319,"('toniiiight', 'JJ')"
2319,"('toniiiight', 'NN')"
2319,"('toniiiight', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'JJ')"
2321,"('mmm', 'JJ')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'JJ')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'JJ')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2321,"('mmm', 'NN')"
2332,"('aowwww', 'VBZ')"
2332,"('heyyy', 'JJ')"
2332,"('heyyy', 'JJ')"
2332,"('heyyy', 'JJ')"
2332,"('heyyy', 'JJ')"
2348,"('uhhh', 'JJ')"
2348,"('blockaaa', 'RB')"
2354,"('haaaaan', 'JJ')"
2360,"('ahhooooo', 'NN')"
2361,"('bbbitch', 'VBP')"
2361,"('bbbitch', 'VBP')"
2361,"('bbbitch', 'VBP')"
2367,"('ahhh', 'VB')"
2367,"('ahhh', 'NN')"
2367,"('ahhhhhh', 'NN')"
2367,"('ohhh', 'NN')"
2367,"('ahhh', 'NN')"
2367,"('ahhh', 'NN')"
2367,"('ahhh', 'NN')"
2375,"('haaanh', 'NN')"
2375,"('haaanh', 'NN')"
2381,"('lllick', 'NN')"
2381,"('nnname', 'RB')"
2381,"('pppromise', 'VB')"
2383,"('laaaaa', 'JJ')"
2388,"('ooooh', 'VBP')"
2388,"('oooh', 'NN')"
2388,"('oooh', 'RP')"
2388,"('sweeeeet', 'NN')"
2388,"('oooh', 'NN')"
2388,"('oooh', 'RP')"
2388,"('sweeeeet', 'NN')"
2388,"('ooooh', 'JJ')"
2388,"('oooh', 'NN')"
2388,"('oooh', 'RP')"
2388,"('sweeeeet', 'NN')"
2394,"('yooo', 'NN')"
2399,"('worrrrrd', 'VBD')"
2399,"('oooohhhh', 'NN')"
2399,"('nahhhh', 'JJ')"
2399,"('itsssssssssss', 'JJ')"
2399,"('ihhhh', 'NN')"
2399,"('slaaaaaave', 'VBP')"
2399,"('maaaaan', 'VBN')"
2428,"('deuuuce', 'NN')"
2459,"('brrrrrrrr', 'NN')"
2477,"('oooh', 'RB')"
2477,"('oooh', 'NN')"
2486,"('mmm', 'VBD')"
2505,"('xiii', 'NN')"
2514,"('fiiiiire', 'NN')"
2514,"('somebooooody', 'NN')"
2514,"('somebooooody', 'NN')"
2514,"('somebooooody', 'NN')"
2514,"('somebooooody', 'NN')"
2514,"('somebooooody', 'NN')"
2514,"('somebooooody', 'NN')"
2514,"('somebooooody', 'NN')"
2514,"('somebooooody', 'NN')"
2515,"('gggunit', 'NN')"
2515,"('wooooooo', 'NN')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2515,"('boooooottom', 'JJ')"
2519,"('gggggunit', 'JJ')"
2519,"('gggggunit', 'NN')"
2519,"('gggggunit', 'NN')"
2519,"('gggggunit', 'NN')"
2526,"('kkks', 'NN')"
2532,"('ooooh', 'JJ')"
2532,"('weee', 'VBP')"
2568,"('aiiight', 'NN')"
2568,"('aiiight', 'JJ')"
2568,"('aiiight', 'JJ')"
2568,"('aiiight', 'VBD')"
2568,"('aiiight', 'NN')"
2568,"('aiiight', 'NN')"
2568,"('aiiight', 'NN')"
2568,"('aiiight', 'VBD')"
2568,"('aiiight', 'VBD')"
2568,"('aiiight', 'NN')"
2568,"('aiiight', 'NN')"
2570,"('ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhrahhahhh', 'NN')"
2571,"('iiiiiiii', 'NN')"
2571,"('iii', 'NN')"
2571,"('iii', 'NN')"
2571,"('iiii', 'JJ')"
2571,"('iii', 'JJ')"
2571,"('iiiiiiii', 'NN')"
2575,"('ggget', 'NN')"
2576,"('foxxx', 'NN')"
2576,"('foxxx', 'NN')"
2576,"('foxxx', 'NN')"
2580,"('oookaay', 'NN')"
2580,"('ooookaay', 'NN')"
2583,"('heahhh', 'NN')"
2602,"('mmm', 'NN')"
2610,"('foxxx', 'NN')"
2618,"('foxxx', 'VBP')"
2618,"('foxxx', 'NN')"
2618,"('foxxx', 'NN')"
2618,"('foxxx', 'NN')"
2633,"('moneyyyy', 'JJ')"
2633,"('yeahhhh', 'JJ')"
2633,"('yeahhhh', 'NN')"
2633,"('yeahhh', 'NN')"
2638,"('galll', 'NN')"
2638,"('kkk', 'NN')"
2646,"('nowwwwwwwwwwwwwwwwwwwwwwwww', 'VBP')"
2646,"('seeeeeee', 'VBP')"
2646,"('nowwwwwwwwwwwwwwwwwwwwwwwww', 'JJ')"
2646,"('morrrrrrrrn', 'NN')"
2646,"('nowwwwwwwwwwwwwwwwwwwwwwwww', 'JJ')"
2660,"('herrrrrrrre', 'JJ')"
2660,"('biiiiiiiiiitch', 'VB')"
2660,"('uhohhhhhhhhhh', 'JJ')"
2660,"('uhohhhhhhhhhh', 'JJ')"
2660,"('puuuuuuuuuuunk', 'JJ')"
2666,"('smoooooth', 'NN')"
2666,"('oooh', 'NN')"
2666,"('oooh', 'NN')"
2670,"('noooooooo', 'NN')"
2675,"('whoahhh', 'VBP')"
2676,"('ddd', 'NN')"
2676,"('ddd', 'NN')"
2676,"('dddirty', 'NN')"
2686,"('iii', 'JJ')"
2686,"('cccant', 'NN')"
2687,"('ohhhh', 'JJ')"
2687,"('sooo', 'VBP')"
2691,"('kkkilla', 'NN')"
2697,"('holllllllld', 'NN')"
2707,"('oooh', 'NN')"
2708,"('ooo', 'NN')"
2716,"('yaaaalll', 'VBP')"
2720,"('mmm', 'NN')"
2734,"('oooh', 'VBP')"
2748,"('wellllll', 'JJ')"
2755,"('hoooome', 'JJ')"
2756,"('mmm', 'VBP')"
2756,"('mmm', 'VBP')"
2772,"('hmmm', 'NN')"
2772,"('hmmm', 'NN')"
2779,"('mmmm', 'NN')"
2810,"('bosss', 'NN')"
2824,"('gggucci', 'JJ')"
2824,"('sss', 'NN')"
2832,"('awww', 'NN')"
2843,"('burrr', 'NN')"
2843,"('burrr', 'NN')"
2849,"('burrr', 'JJ')"
2859,"('iii', 'JJ')"
2859,"('iii', 'NN')"
2859,"('iii', 'NN')"
2859,"('iii', 'NN')"
2859,"('iii', 'NN')"
2859,"('iii', 'NN')"
2859,"('iii', 'NN')"
2859,"('iii', 'NN')"
2859,"('iii', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2891,"('mmm', 'NN')"
2903,"('stillll', 'NN')"
2903,"('stillll', 'NN')"
2903,"('stillll', 'NN')"
2913,"('mmm', 'VBP')"
2913,"('mmm', 'NN')"
2944,"('oooooohooooooh', 'JJ')"
2944,"('oooooohooooooh', 'NN')"
2944,"('uhhhhh', 'JJ')"
2944,"('ooooh', 'NN')"
2944,"('yeahhh', 'NN')"
2944,"('yeahhh', 'NN')"
2946,"('ffft', 'NN')"
2947,"('mmm', 'NN')"
2953,"('stiggettyyooourhiggetyhorrron', 'NN')"
2954,"('playohhhoooohahhh', 'VB')"
2954,"('playayyyhey', 'VB')"
2956,"('mmm', 'NN')"
2956,"('mmm', 'NN')"
2957,"('mmmm', 'NN')"
2960,"('ahahhh', 'JJ')"
2960,"('ooohh', 'VB')"
2963,"('threeeight', 'NN')"
2978,"('hmmm', 'JJ')"
2978,"('hmmm', 'NNS')"
2980,"('swizzz', 'NN')"
2980,"('swizzz', 'NN')"
2980,"('swizzz', 'JJ')"
2980,"('zzzeed', 'VBD')"
2980,"('swizzz', 'JJ')"
2982,"('oooff', 'RB')"
2982,"('oooff', 'RB')"
2982,"('oooff', 'RB')"
2982,"('oooff', 'RB')"
2985,"('nananaaah', 'JJ')"
2985,"('nananaaah', 'JJ')"
2985,"('nananaaah', 'JJ')"
2985,"('nananaaah', 'JJ')"
2986,"('mmmhmm', 'NN')"
2986,"('oooooooooooooooo', 'VBP')"
2994,"('yeaaah', 'NNS')"
2994,"('psssssst', 'NN')"
3003,"('swizzz', 'NN')"
3005,"('awww', 'NN')"
3005,"('swizzz', 'VBD')"
3007,"('rosss', 'NN')"
3007,"('ehhh', 'JJ')"
3007,"('ehhh', 'JJ')"
3007,"('ayeee', 'JJ')"
3007,"('bwabwaaaaaboo', 'NN')"
3007,"('ehhh', 'JJ')"
3007,"('ayeee', 'JJ')"
3007,"('ehhh', 'JJ')"
3007,"('ehhh', 'JJ')"
3007,"('ayeee', 'JJ')"
3007,"('swizzzle', 'VBD')"
3012,"('oooh', 'VBP')"
3012,"('oooh', 'VBP')"
3012,"('oooh', 'VBP')"
3012,"('oooh', 'VBP')"
3029,"('shiiit', 'NN')"
3033,"('beeeotch', 'JJ')"
3035,"('amerikkkas', 'VBZ')"
3035,"('amerikkkas', 'NN')"
3038,"('iiiiiiii', 'VBZ')"
3038,"('yaaaaaa', 'JJ')"
3038,"('yaaaaaa', 'NN')"
3038,"('yaaaaaa', 'NN')"
3038,"('yaaaaaa', 'NN')"
3038,"('yaaaaaa', 'VBP')"
3038,"('yaaaaaa', 'JJ')"
3038,"('yaaaaaa', 'NN')"
3038,"('sheeeit', 'NN')"
3038,"('wayyy', 'NN')"
3038,"('ooo', 'JJ')"
3042,"('ahhh', 'NN')"
3049,"('iiiice', 'NN')"
3058,"('ehrrr', 'VBZ')"
3058,"('errr', 'NN')"
3066,"('brrrrr', 'NN')"
3073,"('ohhhh', 'NN')"
3073,"('ohhhh', 'NN')"
3073,"('ohhhh', 'NN')"
3076,"('threeeighty', 'NN')"
3078,"('amerikkkas', 'NN')"
3079,"('kkk', 'NNP')"
3085,"('aohhhh', 'JJ')"
3089,"('brrr', 'NN')"
3089,"('brrr', 'NNS')"
3092,"('kkk', 'NN')"
3092,"('amerikkkas', 'VBZ')"
3127,"('brrrahhhh', 'NN')"
3127,"('riiiing', 'VBG')"
3128,"('kkkill', 'VB')"
3131,"('stahhh', 'NN')"
3136,"('doooooown', 'RP')"
3136,"('doooooown', 'JJ')"
3136,"('ooooh', 'JJ')"
3136,"('doooooown', 'RB')"
3138,"('kkk', 'VBP')"
3144,"('screaaaaamm', 'VBP')"
3152,"('waaa', 'VBD')"
3152,"('awaaaaaaaaaaaaaaa', 'NN')"
3152,"('brrr', 'VBP')"
3152,"('brrr', 'NN')"
3152,"('ahhhhh', 'VB')"
3152,"('ahhhh', 'NN')"
3152,"('iii', 'VBP')"
3164,"('swiiing', 'VBG')"
3164,"('swiiiiiiing', 'VBG')"
3164,"('swiiiing', 'VBG')"
3166,"('whhoooop', 'VBN')"
3179,"('shaggyyyyyyyyyy', 'NN')"
3179,"('tiiiiime', 'NN')"
3179,"('mmmm', 'VBP')"
3179,"('mmmm', 'JJ')"
3182,"('ahhhhhh', 'JJ')"
3194,"('threeeighty', 'NN')"
3200,"('plaaattt', 'JJ')"
3204,"('everrry', 'JJ')"
3205,"('murdaaa', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ooohhh', 'NN')"
3211,"('ooooooohhhhhh', 'JJ')"
3211,"('nooooooooooooo', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3211,"('ohhhh', 'JJ')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhh', 'NN')"
3211,"('ohhhhh', 'NN')"
3215,"('shiiiiit', 'NN')"
3224,"('hahaaaeeh', 'NN')"
3224,"('hahaaaeeh', 'NN')"
3226,"('ahhahhhh', 'RP')"
3232,"('owww', 'JJ')"
3234,"('wooooh', 'NN')"
3243,"('shhh', 'JJ')"
3245,"('haahaaaeeh', 'VBP')"
3245,"('fulllength', 'JJ')"
3247,"('errrr', 'RB')"
3250,"('ahhahhhh', 'NN')"
3252,"('hahaaaeeh', 'NN')"
3252,"('hahaaaeeh', 'NN')"
3254,"('mmmm', 'VBP')"
3254,"('mmmm', 'VBP')"
3278,"('woooo', 'NN')"
3279,"('mmmmmm', 'NN')"
3279,"('mmmmmm', 'NN')"
3304,"('gegegeyeahhh', 'VBP')"
3335,"('yeaaah', 'NN')"
3354,"('yeeeah', 'JJ')"
3375,"('yeaaaahhhh', 'NN')"
3375,"('yeaaaahhhh', 'NN')"
3375,"('yeaaaahhhh', 'NN')"
3379,"('nigggga', 'NN')"
3379,"('turboooh', 'NN')"
3385,"('awoooo', 'NN')"
3394,"('brrrrrrrrr', 'NN')"
3402,"('heeey', 'VB')"
3405,"('ggggo', 'JJ')"
3408,"('ayyye', 'NN')"
3411,"('amerikkkas', 'JJ')"
3420,"('scrrrr', 'NN')"
3421,"('amerikkkan', 'NN')"
3421,"('amerikkka', 'NNS')"
3421,"('amerikkka', 'NN')"
3429,"('iii', 'NN')"
3429,"('iii', 'NN')"
3429,"('iii', 'NN')"
3432,"('ummmm', 'JJ')"
3436,"('amerikkka', 'NN')"
3436,"('amerikkka', 'NN')"
3436,"('amerikkka', 'NN')"
3436,"('amerikkka', 'NN')"
3441,"('hmmm', 'NN')"
3443,"('amerikkka', 'JJ')"
3443,"('amerikkka', 'JJ')"
3443,"('amerikkka', 'JJ')"
3453,"('amerikkka', 'VBP')"
3453,"('amerikkka', 'NN')"
3465,"('amerikkka', 'JJ')"
3465,"('amerikkka', 'JJ')"
3465,"('amerikkka', 'NN')"
3465,"('amerikkka', 'JJ')"
3470,"('okaaayy', 'NN')"
3472,"('ohhhh', 'NN')"
3478,"('oooooh', 'NN')"
3478,"('rrrr', 'NN')"
3484,"('uhooo', 'JJ')"
3489,"('uhohhhh', 'JJ')"
3492,"('uuupp', 'JJ')"
3516,"('xxxtentacion', 'NN')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'NN')"
3531,"('aaaahhhh', 'JJ')"
3531,"('aaaahhhh', 'NN')"
3543,"('mmm', 'VBZ')"
3551,"('bdddddboomboomboomboom', 'NN')"
3553,"('chipppedy', 'NN')"
3553,"('peeeeeuuungghhh', 'NN')"
3558,"('shhhh', 'NN')"
3558,"('shhhh', 'JJ')"
3558,"('shhhh', 'RB')"
3558,"('shhhh', 'JJ')"
3558,"('shhhh', 'NN')"
3558,"('shhhh', 'JJ')"
3561,"('iii', 'NN')"
3562,"('oohoohoohoohoooooh', 'NN')"
3562,"('oohoohooooh', 'VBZ')"
3562,"('oohoohoohoohoooooh', 'RP')"
3562,"('oohoohooooh', 'VBZ')"
3562,"('oohoohoohoohoooooh', 'NN')"
3562,"('oohoohooooh', 'NN')"
3576,"('expaaaaansion', 'NN')"
3576,"('mmmm', 'VBZ')"
3576,"('uhhhhh', 'NNS')"
3594,"('ehhh', 'RB')"
3606,"('hooo', 'NN')"
3618,"('awww', 'NN')"
3618,"('freeeeee', 'JJ')"
3618,"('freeeeee', 'JJ')"
3618,"('hiiiii', 'VBZ')"
3618,"('freeeeee', 'JJ')"
3618,"('freeeeee', 'JJ')"
3618,"('freeeeee', 'JJ')"
3618,"('freeeeee', 'JJ')"
3618,"('yeahhh', 'JJ')"
3618,"('freeeeee', 'JJ')"
3618,"('freeeeee', 'JJ')"
3619,"('eeeh', 'JJ')"
3625,"('ooaaah', 'JJ')"
3625,"('ooaahhh', 'NN')"
3625,"('ooaaah', 'JJ')"
3625,"('ooaahhh', 'NN')"
3625,"('ooaaah', 'NN')"
3625,"('ooaahhh', 'NN')"
3625,"('ooaaah', 'JJ')"
3625,"('ooaahhh', 'NN')"
3626,"('ddddoing', 'VBG')"
3632,"('sssh', 'VBP')"
3632,"('llllllullaby', 'JJ')"
3632,"('flyyyyyy', 'JJ')"
3632,"('siiiiide', 'JJ')"
3633,"('yayyy', 'NN')"
3633,"('yayyy', 'NN')"
3642,"('iiii', 'NN')"
3644,"('bbbbbound', 'NN')"
3644,"('bbbbbound', 'NN')"
3650,"('rrrright', 'NN')"
3654,"('iii', 'JJ')"
3654,"('iii', 'NNS')"
3677,"('oooh', 'VB')"
3681,"('hiii', 'NN')"
3681,"('heyyy', 'NN')"
3682,"('hhhhigh', 'JJ')"
3686,"('aaadam', 'NNS')"
3686,"('blaaack', 'NN')"
